TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST90281045	Depression (broad)	MONDO_0002009	D003865
GCST90281112	Migraine or 2-hr glucose levels	EFO_0004468;MONDO_0005277	D008881
GCST90281113	Migraine or fasting glucose levels	MONDO_0005277	D008881
GCST90281114	Migraine or fasting insulin levels	MONDO_0005277	D008881
GCST90281115	Migraine or glucose levels	EFO_0004468;MONDO_0005277	D008881
GCST90281116	Migraine or HOMA-B	EFO_0004469;MONDO_0005277	D008881
GCST90281117	Migraine or fasting pro-insulin levels	MONDO_0005277	D008881
GCST90281118	Migraine or type 1 diabetes	MONDO_0005147;MONDO_0005277	D003922;D008881
GCST90281172	Pneumonia (28-day mortality)	EFO_0003106;EFO_0004352	D011014;Q000401
GCST90281173	Pneumonia death (death vs survived)	EFO_0003106;EFO_0004352	D011014;Q000401
GCST90281174	Sepsis (hospital admission)	HP_0100806	
GCST90281179	Sepsis (28-day mortality)	EFO_0004352;HP_0100806	Q000401
GCST90281180	Sepsis (death vs survived)	EFO_0004352;HP_0100806	Q000401
GCST90281183	Sepsis (aged <75)	HP_0100806	
GCST90295934	Seropositivity (peptide co-occurrence module 12: H. pylori, for phages))	EFO_0007034	
GCST90295942	Seropositivity (peptide co-occurrence module 20: Influenza)	EFO_0007034	
GCST90296100	Time to Alzheimer's disease	OBA_2001000	
GCST90296443	Major depressive disorder or severe COVID-19 (pleiotropy)	MONDO_0002009;MONDO_0100096	D003865;D000086382
GCST90296444	Major depressive disorder or hospitalized COVID-19 (pleiotropy)	MONDO_0002009;MONDO_0100096	D003865;D000086382
GCST90296445	Major depressive disorder or COVID-19 infection (pleiotropy)	MONDO_0002009;MONDO_0100096	D003865;D000086382
GCST90296487	Breast cancer or COVID-19 infection (pleiotropy)	MONDO_0007254;MONDO_0100096	D000086382
GCST90296488	Breast cancer or hospitalized COVID-19 (pleiotropy)	MONDO_0007254;MONDO_0100096	D000086382
GCST90296489	Breast cancer or critical COVID-19 (pleiotropy)	MONDO_0007254;MONDO_0100096	D000086382
GCST90296605	Hypertension 1	EFO_0000537	D006973
GCST90296606	Hypertension 2	EFO_0000537	D006973
GCST90296627	Hypertension 1	EFO_0000537	D006973
GCST90296628	Hypertension 2	EFO_0000537	D006973
GCST90296699	Type 2 diabetes (with history of pregnancy)	EFO_0000352;MONDO_0005148	D003924
GCST90296700	Type 2 diabetes (with no history of pregnancy)	MONDO_0005148	D003924
GCST90296720	Breast cancer (estrogen-receptor positive)	EFO_1000649	
GCST90296721	Breast cancer (estrogen-receptor negative)	EFO_1000650	
GCST90296722	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	EFO_0005537	D064726
GCST90297582	ICD10 G20: Parkinson's disease (CNV mirror model)	MONDO_0005180	D010300
GCST90297611	ICD10 F00, G30: Alzheimer's disease (CNV mirror model)	MONDO_0004975	D000544
GCST90297636	ICD10 G20: Parkinson's disease (CNV U-shape model)	MONDO_0005180	D010300
GCST90297665	ICD10 F00, G30: Alzheimer's disease (CNV U-shape model)	MONDO_0004975	D000544
GCST90297713	ICD10 F00, G30: Alzheimer's disease (CNV duplication-only model)	MONDO_0004975	D000544
GCST90297732	ICD10 G20: Parkinson's disease (CNV deletion-only model)	MONDO_0005180	D010300
GCST90301324	Ulcerative colitis x sex interaction (2df)	EFO_0000729;EFO_0008343	D003093
GCST90302861	Rheumatoid arthritis or multiple sclerosis	EFO_0000685;MONDO_0005301	D001172;D009103
GCST90302862	Rheumatoid arthritis or irritable bowel disease	EFO_0000555;EFO_0000685	D043183;D001172
GCST90302863	Rheumatoid arthritis or type 1 diabetes	EFO_0000685;MONDO_0005147	D001172;D003922
GCST90308729	Chemotherapy induced time to first peripheral neuropathy in cancer	EFO_0003100;GO_0097327	
GCST90309346	Hypertension (confirmatory factor analysis Factor 12)	EFO_0000537	D006973
GCST90309352	Chronic pain (confirmatory factor analysis Factor 18)	HP_0012532	D059350
GCST90310210	Primary open angle glaucoma (MTAG)	EFO_0004190	D005902
GCST90310211	Primary open angle glaucoma (multi-trait analysis)	EFO_0004190	D005902
GCST90310253	Late-onset Alzheimer's disease	MONDO_0004975	D000544
GCST90310289	Edema (>= grade 2) in breast cancer treated with radiotherapy	EFO_0009373;GO_0009314	
GCST90310300	ICD10 L50: Urticaria	EFO_0005531	D014581
GCST90319324	Type 2 diabetes in childhood cancer survivors	MONDO_0005148	D003924
GCST90319325	Type 2 diabetes in childhood cancer survivors	MONDO_0005148	D003924
GCST90319492	Asthma and chronic obstructive pulmonary disease x sex interaction	EFO_0008343;EFO_0009759;MONDO_0004979	D001249
GCST90319499	Schizophrenia or breast cancer (pleiotropy)	EFO_0000305;MONDO_0005090	
GCST90319500	Schizophrenia or ER positive breast cancer (pleiotropy)	EFO_1000649;MONDO_0005090	
GCST90319501	Schizophrenia or ER negative breast cancer (pleiotropy)	EFO_1000650;MONDO_0005090	
GCST90319678	Breast cancer (luminal A)	MONDO_0021116	
GCST90319679	Breast cancer (luminal B)	MONDO_0021115	
GCST90319680	Breast cancer (basal-like)	EFO_0000281	
GCST90319681	Breast cancer (HER2 positive)	EFO_1000294	
GCST90321104	Breast cancer x number of full_term pregnancies (per 1 birth) interaction	EFO_0000305;EFO_0009438	
GCST90321105	Breast cancer x age at menarche interaction	EFO_0000305;EFO_0004703	
GCST90321106	Breast cancer x current smoking interaction	EFO_0000305;EFO_0006527	
GCST90321107	Breast cancer x adult height interaction	EFO_0000305	
GCST90321108	Breast cancer x oral contraceptives use interaction	EFO_0000305;EFO_0009520	
GCST90321109	Breast cancer x parity interaction	EFO_0000305	
GCST90321110	Breast cancer x postmenopausal BMI interaction	EFO_0000305;EFO_0004340	D015992
GCST90328131	Major depressive disorder (broad)	MONDO_0002009	D003865
GCST90399470	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90399724	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90399725	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90399726	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90399727	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90399728	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90428054	Time to levodopa-induced-dyskinesia onset in Parkinson's disease	EFO_0010747;EFO_1000904	D004409
GCST90428109	Hypothyroidism or rheumatoid arthritis (pleiotropy)	EFO_0000685;EFO_0004705	D001172;D007037
GCST90428476	Alopecia areata	MONDO_0004907	D000505
GCST90428824	B-cell lymphoblastic leukemia or Graves' disease (pleiotropy)	EFO_0000094;EFO_0004237	D006111
GCST90428859	Pancreatic cancer x smoking interaction	EFO_0002618;EFO_0006527	
GCST90428871	Type 2 diabetes in childhood cancer survivors	MONDO_0005148	D003924
GCST90429151	Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy)	EFO_0003888;EFO_0008579	D001289
GCST90432131	ICD10 K22.1: Ulcer of esophagus	MONDO_0044782	
GCST90432133	Barrett's esophagus (UKB data field 20002_1139)	EFO_0000280	D001471
GCST90432137	Gastritis and duodenitis (UKB data field 20002_1143)	EFO_0000217;MONDO_0004627	D005756;D004382
GCST90432140	Cholelithiasis (UKB data field 20002_1162)	EFO_0004799	D002769
GCST90432148	Non-cancer illness code, self-reported: Irritable Bowel Syndrome (UKB data field 20002_1154)	EFO_0000555	D043183
GCST90432161	Intestinal gastric cancer in H. pylori positive individuals	EFO_0000504	
GCST90432162	Intestinal gastric cancer in H. pylori negative individuals	EFO_0000504	
GCST90432164	Diffuse gastric cancer in H. pylori positive individuals	EFO_0000402	
GCST90433768	Leukemia inhibitory factor levels	EFO_0801764	
GCST90433769	Leukemia inhibitory factor receptor levels	EFO_0010788	
GCST90433791	Lipoma-preferred partner levels	OBA_2051507	
GCST90435150	Pain intensity in opioid-treated advanced cancer	EFO_0008541;EFO_0010639	
GCST90435157	Extraintestinal manifestations in inflammatory bowel disease (Psoriasis)	EFO_0000676	D011565
GCST90435239	Breast cancer x TP53 mutation interaction	EFO_0008382;MONDO_0007254	
GCST90435240	Breast cancer x TP53 gain of function mutation interaction	EFO_0008382;MONDO_0007254	
GCST90435241	Breast cancer x TP53 loss of function mutation interaction	EFO_0008382;MONDO_0007254	
GCST90435242	Breast cancer x PIK3CA mutation interaction	EFO_0007658;MONDO_0007254	
GCST90435243	Breast cancer x PIK3CA hotspot mutation interaction	EFO_0007658;MONDO_0007254	
GCST90435419	Insomnia or psoriasis (pleiotropy)	EFO_0000676;EFO_0004698	D011565;D007319
GCST90435759	Gout and other crystal arthropathies	MONDO_0022208	
GCST90435794	Iron deficiency anemias, unspecified or not due to blood loss	HP_0001891	D018798
GCST90436118	Cardiac arrest and ventricular fibrillation	EFO_0004287;EFO_0009492	D014693;D006323
GCST90436544	Hypertension complicating pregnancy, childbirth, and the puerperium	EFO_0000537;EFO_0009682	D006973;D011248
GCST90436585	Disorder of skin and subcutaneous tissue NOS	EFO_0000701	D012871
GCST90436606	Psoriasis and related disorders	EFO_0000676	D011565
GCST90436613	Other hypertrophic and atrophic conditions of skin	EFO_1000766	
GCST90436636	Diffuse diseases of connective tissue	EFO_1001986	D003240
GCST90436650	Rheumatoid arthritis and other inflammatory polyarthropathies	EFO_0000685	D001172
GCST90436672	Other and unspecified disorders of back	HP_0000925	
GCST90436857	Late effects of musculoskeletal and connective tissue injuries	EFO_0000546;EFO_0003765	D014947;D012816
GCST90444408	Stroke in type 1 diabetes	EFO_0000712	D020521
GCST90444409	Stroke in type 1 diabetes (adjusted for diabetic kidney disease)	EFO_0000712	D020521
GCST90446191	Colorectal cancer (metastasis vs no metastasis)	EFO_0007675;MONDO_0005575	
GCST90446192	Colorectal cancer (liver and/or lung metastasis vs no metastasis)	EFO_0007675;MONDO_0005575	
GCST90446203	Colorectal cancer (lung metastasis vs non-lung metastasis)	EFO_0007675;MONDO_0005575	
GCST90446204	Colorectal cancer (bone metastasis vs no metastasis)	EFO_0007675;MONDO_0005575	
GCST90446209	Bipolar disorder or blood urea nitrogen levels (MTAG)	EFO_0004741;MONDO_0004985	D001714
GCST90446210	Bipolar disorder or glomerular filtration rate estimated from creatine (MTAG)	MONDO_0004985;OBA_0003747	D001714
GCST90446211	Bipolar disorder or glomerular filtration rate estimated from cystatin (MTAG)	MONDO_0004985;OBA_0003747	D001714
GCST90446212	Bipolar disorder or urinary albumin-to-creatinine ratio (MTAG)	EFO_0007778;MONDO_0004985	D001714
GCST90446213	Bipolar disorder or urate levels (MTAG)	EFO_0004531;MONDO_0004985	D001714
GCST90446214	Major depressive disorder or blood urea nitrogen levels (MTAG)	EFO_0004741;MONDO_0002009	D003865
GCST90446215	Major depressive disorder or glomerular filtration rate estimated from creatine (MTAG)	MONDO_0002009;OBA_0003747	D003865
GCST90446216	Major depressive disorder or glomerular filtration rate estimated from cystatin (MTAG)	MONDO_0002009;OBA_0003747	D003865
GCST90446217	Major depressive disorder or urinary albumin-to-creatinine ratio (MTAG)	EFO_0007778;MONDO_0002009	D003865
GCST90446218	Major depressive disorder or urate levels (MTAG)	EFO_0004531;MONDO_0002009	D003865
GCST90446233	Late-onset Alzheimer's disease	EFO_1001870	
GCST90446234	Late-onset Alzheimer's disease (adjusted for APOE)	EFO_1001870	
GCST90446417	Acute renal failure (AlphaMissense) (Gene-based burden)	MONDO_0002492	D058186
GCST90446418	Acute renal failure (Gene-based burden)	MONDO_0002492	D058186
GCST90446419	Atrial fibrillation and flutter (AlphaMissense) (Gene-based burden)	EFO_0000275	D001281
GCST90446420	Atrial fibrillation and flutter (Gene-based burden)	EFO_0000275	D001281
GCST90446421	Breast cancer (AlphaMissense) (Gene-based burden)	EFO_0000305	
GCST90446422	Breast cancer (Gene-based burden)	EFO_0000305	
GCST90446425	Cataract (AlphaMissense) (Gene-based burden)	MONDO_0005129	D002386
GCST90446426	Cataract (Gene-based burden)	MONDO_0005129	D002386
GCST90446427	Diaphragmatic hernia (AlphaMissense) (Gene-based burden)	EFO_0008561	D006548
GCST90446428	Diaphragmatic hernia (Gene-based burden)	EFO_0008561	D006548
GCST90446429	Hypercholesterolemia (AlphaMissense) (Gene-based burden)	HP_0003124	
GCST90446430	Hypercholesterolemia (Gene-based burden)	HP_0003124	
GCST90446431	Hypertension (AlphaMissense) (Gene-based burden)	EFO_0000537	D006973
GCST90446432	Hypertension (Gene-based burden)	EFO_0000537	D006973
GCST90446433	Hypothyroidism (AlphaMissense) (Gene-based burden)	EFO_0004705	D007037
GCST90446434	Hypothyroidism (Gene-based burden)	EFO_0004705	D007037
GCST90446457	Major depressive disorder (AlphaMissense) (Gene-based burden)	MONDO_0002009	D003865
GCST90446458	Major depressive disorder (Gene-based burden)	MONDO_0002009	D003865
GCST90446461	Type 2 diabetes (AlphaMissense) (Gene-based burden)	MONDO_0005148	D003924
GCST90446462	Type 2 diabetes (Gene-based burden)	MONDO_0005148	D003924
GCST90446468	Breast cancer subtype (luminal B-like vs luminal A-like)	MONDO_0021115;MONDO_0021116	
GCST90446469	Breast cancer subtype (HER2-enriched-like vs luminal A-like)	EFO_1000294;MONDO_0021116	
GCST90446470	Breast cancer subtype (triple negative vs luminal A-like)	EFO_0005537;MONDO_0021116	D064726
GCST90446471	Breast cancer subtype (triple negative vs luminal B-like)	EFO_0005537;MONDO_0021115	D064726
GCST90446472	Breast cancer subtype (triple negative vs luminal B-like/HER2-negative-like)	EFO_0005537;EFO_0009780;MONDO_0021115	D064726
GCST90446473	Breast cancer subtype (HER2-enriched-like vs luminal B-like)	EFO_1000294;MONDO_0021115	
GCST90446474	Breast cancer subtype (triple negative vs HER2-enriched-like)	EFO_0005537;EFO_1000294	D064726
GCST90448086	ASCVD risk score (Systematic Coronary Risk Evaluation 2-Older People-Lipid scores)	EFO_0003914	D050197
GCST90448546	Attention deficit hyperactivity disorder (first diagnosed in adulthood vs childhood)	EFO_0003888	D001289
GCST90448550	Attention deficit hyperactivity disorder first diagnosed in adulthood	EFO_0003888	D001289
GCST90448551	Attention deficit hyperactivity disorder or Substance use disorder (pleiotropy)	EFO_0003888;MONDO_0002494	D001289;D019966
GCST90448552	Attention deficit hyperactivity disorder or autism spectrum disorder (pleiotropy)	EFO_0003756;EFO_0003888	D002659;D001289
GCST90448553	Attention deficit hyperactivity disorder and Substance use disorder	EFO_0003888;MONDO_0002494	D001289;D019966
GCST90448554	Attention deficit hyperactivity disorder and Autism spectrum disorder	EFO_0003756;EFO_0003888	D002659;D001289
GCST90449026	Dementia or Alzheimer's disease	MONDO_0001627;MONDO_0004975	D003704;D000544
GCST90449027	Vascular dementia or Alzheimer's disease	EFO_0004718;MONDO_0004975	D015140;D000544
GCST90449045	Alzheimer's disease (clinical and registry cases) (r-XCI inactivation)	MONDO_0004975	D000544
GCST90449046	Alzheimer's disease or dementia (clinical, registry and proxy cases)  (r-XCI inactivation)	MONDO_0001627;MONDO_0004975	D003704;D000544
GCST90449047	Alzheimer's disease (clinical cases)  (r-XCI inactivation)	MONDO_0004975	D000544
GCST90449048	Alzheimer's disease (clinical and registry cases) (e-XCI inactivation)	MONDO_0004975	D000544
GCST90449049	Alzheimer's disease (clinical cases)  (e-XCI inactivation)	MONDO_0004975	D000544
GCST90449050	Alzheimer's disease (clinical cases)  (s-XCI inactivation)	MONDO_0004975	D000544
GCST90449051	Alzheimer's disease (clinical and registry cases)	MONDO_0004975	D000544
GCST90449052	Alzheimer's disease (clinical and registry cases)	MONDO_0004975	D000544
GCST90449053	Alzheimer's disease (MTAG)	MONDO_0004975	D000544
GCST90449054	Atrial fibrillation (MTAG)	EFO_0000275	D001281
GCST90449055	Alzheimer's disease (MTAG)	MONDO_0004975	D000544
GCST90449058	Alzheimer's disease (MTAG)	MONDO_0004975	D000544
GCST90449060	Alzheimer's disease (MTAG)	EFO_0006514	
GCST90449062	Alzheimer's disease (MTAG)	MONDO_0004975	D000544
GCST90449063	Stroke (MTAG)	EFO_0000712	D020521
GCST90451676	Sepsis-associated acute kidney injury (model 1)	HP_0001919;HP_0100806	D058186
GCST90451677	Sepsis-associated acute kidney injury (model 2)	HP_0001919;HP_0100806	D058186
GCST90451678	Sepsis-associated acute kidney injury (model 3)	HP_0001919;HP_0100806	D058186
GCST90451698	Type 2 diabetes mellitus or coronary artery disease (pleiotropy)	EFO_0001645;MONDO_0005148	D017202;D003924
GCST90451699	Type 2 diabetes mellitus adjusted for BMI or coronary artery disease (pleiotropy)	EFO_0001645;MONDO_0005148	D017202;D003924
GCST90454213	ICD10 N80: Endometriosis	EFO_0001065	D004715
GCST90454215	ICD10 N83.0, N83.1, N83.2: Ovarian cyst, including follicular cyst, corpus luteum cyst, and other/unspecified ovarian cyst	HP_0000138	D010048
GCST90454236	ICD10 O24.4: Diabetes mellitus arising in pregnancy	EFO_0004593	D016640
GCST90454344	Breast cancer (triple negative)	EFO_0005537	D064726
GCST90454345	Breast cancer (luminal A)	MONDO_0021116	
GCST90454346	Breast cancer (luminal B)	MONDO_0021115	
GCST90454347	Breast cancer (luminal B or HER2-negative)	EFO_0009780;MONDO_0021115	
GCST90454348	Breast cancer (HER2-enriched)	EFO_1000294	
GCST90454586	Bipolar disorder or inflammatory bowel disease (MTAG)	EFO_0003767;MONDO_0004985	D015212;D001714
GCST90454587	Bipolar disorder or ulcerative colitis (MTAG)	EFO_0000729;MONDO_0004985	D003093;D001714
GCST90454588	Bipolar disorder or Crohn's disease (MTAG)	EFO_0000384;MONDO_0004985	D003424;D001714
GCST90455609	Parkinson's disease (age of onset) x smoking interaction	OBA_2001009;OBA_2050116	
GCST90455666	Asthma exacerbations	EFO_0007614	
GCST90455667	Asthma exacerbations x eosinophilia interaction	EFO_0004842;EFO_0007614	
GCST90468115	Bipolar disorder	MONDO_0004985	D001714
GCST90472755	Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1)	MONDO_0004975	D000544
GCST90472756	Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 1)	MONDO_0004975	D000544
GCST90472757	Rapidly progressive Alzheimer's disease (pathologically-confirmed vs clinical) (case-control set 1)	MONDO_0004975	D000544
GCST90472758	Rapidly progressive Alzheimer's disease (typical) (case-control set 1)	MONDO_0004975	D000544
GCST90472759	Rapidly progressive Alzheimer's disease (clinical) (case-control set 1)	MONDO_0004975	D000544
GCST90472760	Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 1)	MONDO_0004975	D000544
GCST90472761	Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 2)	MONDO_0004975	D000544
GCST90472762	Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 2)	MONDO_0004975	D000544
GCST90472763	Rapidly progressive Alzheimer's disease (typical) (case-control set 2)	MONDO_0004975	D000544
GCST90472764	Rapidly progressive Alzheimer's disease (clinical) (case-control set 2)	MONDO_0004975	D000544
GCST90472765	Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 2)	MONDO_0004975	D000544
GCST90472766	Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 3)	MONDO_0004975	D000544
GCST90472767	Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 3)	MONDO_0004975	D000544
GCST90472768	Rapidly progressive Alzheimer's disease (typical) (case-control set 3)	MONDO_0004975	D000544
GCST90472769	Rapidly progressive Alzheimer's disease (clinical) (case-control set 3)	MONDO_0004975	D000544
GCST90472770	Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3)	MONDO_0004975	D000544
GCST90472788	Parkinson's disease (age of onset)	OBA_2001009	
GCST90472789	Parkinson's disease (age of onset)	OBA_2001009	
GCST90473003	Barrett's esophagus  or Esophageal adenocarcinoma	EFO_0000280;EFO_0000478	D001471
GCST90475170	Colon cancer/rectal cancer	EFO_1001951	
GCST90475244	"Biological Father: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90475245	"Biological Father: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90475263	"Diabetes / ""Sugar"""	EFO_0000400	D003920
GCST90475264	"Diabetes / ""Sugar"""	EFO_0000400	D003920
GCST90475266	"Takes medication for Diabetes/""Sugar""?"	EFO_0000400;EFO_0009924	D003920
GCST90475267	"Takes medication for Diabetes/""Sugar""?"	EFO_0000400;EFO_0009924	D003920
GCST90475320	Acid reflux/GERD	EFO_0003948	D005764
GCST90475483	"Biological Grandparent (maternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90475491	"Biological Mother: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90475492	"Biological Mother: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90475544	Memory loss or impairment	EFO_0001072	
GCST90475546	Migraine headaches	MONDO_0005277	D008881
GCST90475549	"Biological Grandparent (paternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90475557	Screening for malignant neoplasms	EFO_0021523	
GCST90476373	"Biological Sibling: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476405	Total iron (maximum, inv-norm transformed)	OBA_2050055	
GCST90476544	Total iron (maximum, inv-norm transformed)	OBA_2050055	
GCST90476545	Total iron (maximum, inv-norm transformed)	OBA_2050055	
GCST90476672	"Biological Father: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476673	"Biological Father: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476705	"Diabetes / ""Sugar"""	EFO_0000400	D003920
GCST90476706	"Takes medication for Diabetes/""Sugar""?"	EFO_0000400;EFO_0009924	D003920
GCST90476765	Acid reflux/GERD	EFO_0003948	D005764
GCST90476766	Acid reflux/GERD	EFO_0003948	D005764
GCST90476767	Acid reflux/GERD	EFO_0003948	D005764
GCST90476869	"Biological Grandparent (maternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476870	"Biological Grandparent (maternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476908	"Biological Mother: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476909	"Biological Mother: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476929	Epilepsy / seizure disorder	EFO_0000474	D004827
GCST90476931	Epilepsy / seizure disorder	EFO_0000474	D004827
GCST90476939	Memory loss or impairment	EFO_0001072	
GCST90476940	Memory loss or impairment	EFO_0001072	
GCST90476943	Migraine headaches	MONDO_0005277	D008881
GCST90476944	Migraine headaches	MONDO_0005277	D008881
GCST90476997	"Biological Grandparent (paternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90476998	"Biological Grandparent (paternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90477103	Screening for malignant neoplasms	EFO_0021523	
GCST90477104	Screening for malignant neoplasms	EFO_0021523	
GCST90477105	Screening for malignant neoplasms	EFO_0021523	
GCST90479386	"Biological Sibling: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90479387	"Biological Sibling: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90479388	"Biological Sibling: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90479528	Colon cancer/rectal cancer	EFO_1001951	
GCST90479574	"Biological Father: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90479588	"Takes medication for Diabetes/""Sugar""?"	EFO_0000400;EFO_0009924	D003920
GCST90479589	"Diabetes / ""Sugar"""	EFO_0000400	D003920
GCST90479620	Acid reflux/GERD	EFO_0003948	D005764
GCST90479683	"Biological Grandparent (maternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90479696	"Biological Mother: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90479721	Memory loss or impairment	EFO_0001072	
GCST90479723	Migraine headaches	MONDO_0005277	D008881
GCST90479733	"Biological Grandparent (paternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90479758	Screening for malignant neoplasms	EFO_0021523	
GCST90480473	Alopecia areata	EFO_0004192	D000506
GCST90480684	"Biological Sibling: Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90480711	Total iron (maximum, inv-norm transformed)	OBA_2050055	
GCST90481167	Epilepsy / seizure disorder	EFO_0000474	D004827
GCST90481247	Colon cancer/rectal cancer	EFO_1001951	
GCST90481359	"Biological Grandparent (maternal): Diabetes / ""Sugar"""	EFO_0000400;EFO_0000493	D003920
GCST90481394	Memory loss or impairment	EFO_0001072	
GCST90481395	Migraine headaches	MONDO_0005277	D008881
GCST90481421	Biological Grandparent (paternal): Schizophrenia	EFO_0000493;MONDO_0005090	
GCST90481434	Viral hepatitis A	EFO_0007305	D006506
GCST90481461	Candidiasis of skin and nails	MONDO_0002026	D002177
GCST90481501	Breast cancer [male]	EFO_0006861	D018567
GCST90481502	Neoplasm of uncertain behavior of breast	EFO_0003869	D001943
GCST90481533	Secondary malignant neoplasm of skin	EFO_0009812	
GCST90481546	Myeloid leukemia, acute	EFO_0000222	D015470
GCST90481547	Myeloid leukemia, chronic	EFO_0000339	
GCST90482024	Atherosclerosis of renal artery	MONDO_0001876	
GCST90482121	Stomatitis and mucositis (ulcerative)	EFO_0009688;EFO_1001898	D013280;D052016
GCST90482303	Hypertension complicating pregnancy, childbirth, and the puerperium	EFO_0000537;EFO_0009682	D006973;D011248
GCST90482359	Alopecia areata	EFO_0004192	D000506
GCST90482442	Pathologic fracture of vertebrae	HP_0002756	D005598
GCST90482519	Subdural hemorrhage (injury)	HP_0100309	D006408
GCST90482520	Subarachnoid hemorrhage (injury)	EFO_0000713	D013345
GCST90482626	Breast cancer (early onset)	MONDO_0007254	
GCST90492685	Hunner-type interstitial cystitis or Graves' disease (MTAG)	EFO_0004237;EFO_1000869	D006111;D018856
GCST90502764	Late-onset Alzheimer's disease	EFO_1001870	
GCST90502810	Colorectal cancer x red meat intake interaction	EFO_0008111;MONDO_0005575	
GCST90502811	Colorectal cancer x processed meat intake interaction	EFO_0008111;MONDO_0005575	
GCST90502812	Colorectal cancer x poultry intake interaction	EFO_0008111;MONDO_0005575	
GCST90502813	Colorectal cancer x total fish intake interaction	EFO_0010139;MONDO_0005575	
GCST90502814	Colorectal cancer x milk intake interaction	EFO_0008111;MONDO_0005575	
GCST90502815	Colorectal cancer x cheese intake interaction	EFO_0008111;MONDO_0005575	
GCST90502816	Colorectal cancer x total fruit intake interaction	EFO_0008111;MONDO_0005575	
GCST90502817	Colorectal cancer x coffee intake interaction	EFO_0006781;MONDO_0005575	
GCST90502818	Colorectal cancer x tea intake interaction	EFO_0010091;MONDO_0005575	
GCST90502819	Colorectal cancer x alcohol intake interaction	MONDO_0005575;OBA_1000840	
GCST90502820	Colorectal cancer x vegetables intake interaction	EFO_0008111;MONDO_0005575	
GCST90503274	Pancreatic cancer (Gene-based burden)	EFO_0002618	
GCST90504004	Colorectal cancer x fruit intake interaction (3df)	EFO_0008111;MONDO_0005575	
GCST90504005	Colorectal cancer x vegetable intake interaction (3df)	EFO_0008111;MONDO_0005575	
GCST90504006	Colorectal cancer x fibre intake interaction (3df)	EFO_0008111;MONDO_0005575	
GCST90554823	Pancreatic cancer x heavy alcohol consumption interaction (1df)	EFO_0002618;EFO_0004329	D000428
GCST90558250	Alzheimer's disease, proxy Alzheimer's disease or related dementias	EFO_0009268;MONDO_0001627;MONDO_0004975	D003704;D000544
GCST90565147	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565148	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
GCST90565149	Pain intensity (NRS pain scale 0-11)	EFO_0010639	
