TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST000821	Bipolar disorder and schizophrenia	EFO_0000677	D011618
GCST000846	Breast cancer in BRCA2 mutation carriers	EFO_0000305	
GCST000862	Bipolar disorder and schizophrenia	EFO_0000677	D011618
GCST000867	Breast cancer (estrogen-receptor negative)	EFO_0000305	
GCST000873	Anorexia nervosa	MONDO_0005351	D000856
GCST000878	Myopia (pathological)	EFO_0004207	
GCST000889	Entorhinal cortical thickness (Alzheimer's disease interaction)	EFO_0004840;MONDO_0004975	D000544
GCST000892	Total ventricular volume (Alzheimer's disease interaction)	MONDO_0004975;OBA_2050009	D000544
GCST000893	Entorhinal cortical volume (Alzheimer's disease interaction)	EFO_0005092;MONDO_0004975	D000544
GCST000895	Whole-brain volume (Alzheimer's disease interaction)	EFO_0005089;MONDO_0004975	D000544
GCST000897	Hippocampal volume (Alzheimer's disease interaction)	EFO_0005035;MONDO_0004975	D000544
GCST000900	Alzheimer's disease biomarkers	MONDO_0004975	D000544
GCST000900_2	Alzheimer's disease biomarkers	EFO_0004670;EFO_0004760;MONDO_0004975	D000544
GCST000900_3	Alzheimer's disease biomarkers	EFO_0004670;MONDO_0004975	D000544
GCST000900_4	Alzheimer's disease biomarkers	EFO_0004760;MONDO_0004975	D000544
GCST000909	Type 2 diabetes nephropathy	EFO_0000401	D003928
GCST000934	Asthma or atopy (farm exposure interaction)	EFO_0008362;MONDO_0004979	D001249
GCST000941	Stroke (ischemic)	EFO_0000712	D020521
GCST000946	Myocardial infarction in coronary artery disease	EFO_0000612	D009203
GCST000961	Bipolar disorder	MONDO_0004985	D001714
GCST000969	Bipolar disorder (age of onset and psychotic symptoms)	EFO_0004847;MONDO_0004985	D001714
GCST000969_2	Bipolar disorder (age of onset and psychotic symptoms)	EFO_0005940;MONDO_0004985	D001714
GCST000979	Asthma (childhood onset)	MONDO_0005405	
GCST000980	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST000985	Bipolar disorder	MONDO_0004985	D001714
GCST000986	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST000987	Celiac disease or Rheumatoid arthritis	EFO_0000540	D007154
GCST001026	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST001030	Attention deficit hyperactivity disorder motor coordination	EFO_0003888	D001289
GCST001044	Myopia (pathological)	EFO_0004207	
GCST001052	Alcoholism (heaviness of drinking)	MONDO_0007079	D019973
GCST001053	Alcoholism (alcohol use disorder factor score)	MONDO_0007079	D019973
GCST001054	Alcoholism (alcohol dependence factor score)	MONDO_0007079	D019973
GCST001055	Alcoholism (12-month weekly alcohol consumption)	MONDO_0007079	D019973
GCST001085	Hypertension (SNP x SNP interaction)	EFO_0000537	D006973
GCST001088	Myopia (pathological)	EFO_0004207	
GCST001114	Schizophrenia (age at onset) (sex interaction)	OBA_2001011	
GCST001115	Schizophrenia (age at onset)	OBA_2001011	
GCST001117	Asthma (childhood onset)	MONDO_0005405	
GCST001118	Ulcerative colitis or Crohn's disease	EFO_0000384;EFO_0000729	D003424;D003093
GCST001135	Bipolar disorder	MONDO_0004985	D001714
GCST001139	Chronic hepatitis C infection	EFO_0004220	D019698
GCST001164	Bipolar disorder	MONDO_0004985	D001714
GCST001205	Parkinson's disease (coffee consumption interaction)	EFO_0004330;MONDO_0005180	D010300
GCST001240	Obesity (extreme)	EFO_0001073	D009765
GCST001241	Bipolar disorder	MONDO_0004985	D001714
GCST001252	Asthma treatment response	GO_0051384	
GCST001280	Alzheimer's disease (age of onset)	OBA_2001000	
GCST001282	Psychosis in Alzheimer's disease	EFO_0005940	
GCST001285	Psychosis and Alzheimer's disease	EFO_0005940;MONDO_0004975	D000544
GCST001288	Obesity-related traits	EFO_0001073;EFO_0004340	D009765;D015992
GCST001288_2	Obesity-related traits	EFO_0001073;OBA_0004528	D009765
GCST001295	Alopecia areata	EFO_0004192	D000506
GCST001313	Depression and alcohol dependence	MONDO_0007079	D019973
GCST001358	Bipolar disorder	MONDO_0004985	D001714
GCST001359	Bipolar disorder	MONDO_0004985	D001714
GCST001373	Breast cancer (survival)	EFO_0000305;EFO_0000482	
GCST001373_2	Breast cancer (survival)	EFO_0000305;EFO_0000714	D013534
GCST001405	Hypertension risk in short sleep duration	EFO_0000537	D006973
GCST001441	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST001451	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST001458	Schizophrenia (treatment resistant)	EFO_0004609	
GCST001479	Type 1 diabetes autoantibodies	EFO_0004866;MONDO_0005147	D003922
GCST001493	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST001497	Cholelithiasis-related traits in sickle cell anemia	EFO_0004570;EFO_0004799	D002769
GCST001498	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST001502	Asthma (childhood onset)	MONDO_0005405	
GCST001546	Parkinson's disease (motor and cognition)	MONDO_0005180	D010300
GCST001561	Myopia (pathological)	EFO_0004207	
GCST001567	Bipolar disorder and schizophrenia	MONDO_0004985;MONDO_0005090	D001714
GCST001568	Influenza (severity)	EFO_0007328	D009976
GCST001569	Bipolar disorder	MONDO_0004985	D001714
GCST001586	Insomnia (caffeine-induced)	EFO_0007876	
GCST001597	Asthma (bronchodilator response)	GO_0097366	
GCST001643	Depression (age of onset)	EFO_0004847;MONDO_0002009	D003865
GCST001644	Eating disorders	EFO_0000677	D011618
GCST001647	Bipolar disorder	MONDO_0004985	D001714
GCST001649	Glaucoma (primary angle closure)	MONDO_0005041	D005901
GCST001658	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST001659	Stroke (ischemic)	EFO_0000712	D020521
GCST001688	Type 1 diabetes nephropathy	EFO_0000401	D003928
GCST001689	Stroke (pediatric)	EFO_0000712	D020521
GCST001690	Breast cancer (male)	EFO_0006861	D018567
GCST001695	Bipolar disorder (Negative mood delusions)	MONDO_0004985	D001714
GCST001706	Stroke (ischemic)	EFO_0000712	D020521
GCST001712	Myopia (pathological)	EFO_0004207	
GCST001715	Bipolar disorder with mood-incongruent psychosis	MONDO_0004985	D001714
GCST001717	Otitis media (chronic/recurrent)	EFO_0004992	D010033
GCST001721	Lung Cancer (DNA repair capacity)	EFO_0001071	
GCST001731	Colorectal cancer (environment interaction)	EFO_0005935;EFO_0006527;MONDO_0005575;OBA_1000840	
GCST001736	Cataracts in type 2 diabetes	MONDO_0005129	D002386
GCST001762_10	Obesity-related traits	EFO_0004502	
GCST001762_11	Obesity-related traits	EFO_0004520	
GCST001762_12	Obesity-related traits	EFO_0004530	
GCST001762_13	Obesity-related traits	EFO_0004530;EFO_0004612	
GCST001762_14	Obesity-related traits	EFO_0004574	
GCST001762_15	Obesity-related traits	EFO_0004578	
GCST001762_16	Obesity-related traits	EFO_0004611	
GCST001762_17	Obesity-related traits	EFO_0004612	
GCST001762_18	Obesity-related traits	EFO_0004620	
GCST001762_19	Obesity-related traits	EFO_0004626	
GCST001762_2	Obesity-related traits	EFO_0003939	D002149
GCST001762_20	Obesity-related traits	EFO_0004627	
GCST001762_21	Obesity-related traits	EFO_0004697	
GCST001762_22	Obesity-related traits	EFO_0004730	
GCST001762_23	Obesity-related traits	EFO_0004735	
GCST001762_24	Obesity-related traits	EFO_0004735;EFO_0004736	
GCST001762_25	Obesity-related traits	EFO_0004736	
GCST001762_26	Obesity-related traits	EFO_0004749	
GCST001762_27	Obesity-related traits	EFO_0004810	
GCST001762_28	Obesity-related traits	EFO_0004887	
GCST001762_29	Obesity-related traits	EFO_0004908	
GCST001762_3	Obesity-related traits	EFO_0003940	D009043
GCST001762_30	Obesity-related traits	EFO_0004995	
GCST001762_31	Obesity-related traits	EFO_0005000	
GCST001762_32	Obesity-related traits	EFO_0005106	
GCST001762_33	Obesity-related traits	EFO_0005108	
GCST001762_34	Obesity-related traits	EFO_0005109	
GCST001762_35	Obesity-related traits	EFO_0005110	
GCST001762_36	Obesity-related traits	EFO_0005111	
GCST001762_37	Obesity-related traits	EFO_0005112	D005865
GCST001762_38	Obesity-related traits	EFO_0005115	
GCST001762_39	Obesity-related traits	EFO_0005116	
GCST001762_4	Obesity-related traits	EFO_0004338	D001835
GCST001762_40	Obesity-related traits	EFO_0005117	
GCST001762_41	Obesity-related traits	EFO_0005118	
GCST001762_42	Obesity-related traits	EFO_0005119	
GCST001762_43	Obesity-related traits	EFO_0005134	
GCST001762_44	Obesity-related traits	EFO_0005187	
GCST001762_45	Obesity-related traits	EFO_0005188	
GCST001762_46	Obesity-related traits	EFO_0005189	
